,Unnamed: 0,District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Latitude,Longitude,latitude1,longitude1,Age,gender,Year,Day,Month,Hour,Minute,Second,Level
18,18,LUCKNOW,P02042109110,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,26.843000000000004,81.016,26.481007457080068,81.34371721703614,5,M,2021,4,2,19,25,0,2
19,19,LUCKNOW,P02042110067,C1,PS1,PHONE,Dispute,Other Dispute,26.842,81.016,26.627914200804664,81.17969355903848,44,M,2021,4,2,20,45,0,3
20,20,LUCKNOW,P02042111034,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.841,81.01,26.961045759135647,81.19568830176642,24,F,2021,4,2,21,50,0,2
21,21,LUCKNOW,P02042112483,C1,PS1,PHONE,Theft,Other Location,26.831,81.045,26.90828111364168,81.47702031525053,28,F,2021,4,2,23,26,0,3
22,22,LUCKNOW,P02042112668,C1,PS1,PHONE,Threat In Person,Attack,26.832,80.999,26.85253000941848,81.30659581068177,22,F,2021,4,2,23,46,0,3
23,23,LUCKNOW,P03042100124,C1,PS1,PHONE,Theft,Two Wheeler Vehicle,26.825,81.012,26.24372121091201,81.62173105141297,44,M,2021,4,3,0,20,0,3
24,24,LUCKNOW,P03042100442,C1,PS1,PHONE,Illegal Mining,Illegal Mining Land,26.834,81.031,26.2161582588278,81.2307624799208,34,F,2021,4,3,1,20,0,2
25,25,LUCKNOW,P03042101913,C1,PS1,PHONE,Suicide,By Hanging,26.84,81.025,26.7045616362441,81.41741459291246,48,F,2021,4,3,8,40,0,1
26,26,LUCKNOW,P03042102094,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.836,81.02199999999999,26.32515546687324,81.10923436582799,6,F,2021,4,3,8,57,0,3
27,27,LUCKNOW,P03042102141,C1,PS1,PHONE,Suicide,By Hanging,26.839,81.02600000000001,26.87034091095976,81.34409621862801,17,M,2021,4,3,9,2,0,1
28,28,LUCKNOW,P03042102919,C1,PS1,PHONE,Theft,Other Location,26.839,81.02600000000001,26.425245660895264,81.59539895421553,10,M,2021,4,3,10,20,0,3
29,29,LUCKNOW,P03042102973,C1,PS1,PHONE,Theft,Residential Building,26.848000000000003,81.048,26.38320505358748,81.26927063710671,28,M,2021,4,3,10,26,0,3
30,30,LUCKNOW,P03042108860,C1,PS1,PHONE,Dispute,Other Dispute,26.833,81.036,26.172690040049257,81.63239912797033,40,M,2021,4,3,19,44,0,3
31,31,LUCKNOW,P03042109069,C1,PS1,PHONE,Dispute,Other Dispute,26.843000000000004,81.024,26.319311141946457,81.08180511315595,33,M,2021,4,3,20,2,0,3
32,32,LUCKNOW,P03042110548,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.839,81.02600000000001,26.88270773131487,81.37350082395852,21,M,2021,4,3,22,28,0,2
33,33,LUCKNOW,P03042111216,C1,PS1,PHONE,Dispute,Other Dispute,26.84,81.025,26.687671401367712,81.50074390935431,26,F,2021,4,3,22,59,0,3
34,34,LUCKNOW,P03042111699,C1,PS1,PHONE,Threat In Person,Attack,26.838,81.038,26.115168760890423,81.36452104308053,39,F,2021,4,3,23,32,0,3
35,35,LUCKNOW,P03042111732,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.831,81.05199999999999,26.850419538139924,81.37686259565908,42,M,2021,4,3,23,35,0,3
36,36,LUCKNOW,P04042100035,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.827,81.042,26.976402220606644,81.31178502707516,10,M,2021,4,4,0,3,0,3
37,37,LUCKNOW,P04042100052,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.831,81.05199999999999,26.80502058144804,81.1925143670299,48,M,2021,4,4,0,5,0,3
38,38,LUCKNOW,P04042101157,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,26.841,81.001,26.86861989464057,81.66515113979716,46,F,2021,4,4,4,16,0,2
39,39,LUCKNOW,P04042101421,C1,PS1,PHONE,Threat In Person,Attack,26.835,81.007,26.295584955883577,81.41031508797205,25,F,2021,4,4,5,47,0,3
40,40,LUCKNOW,P04042102030,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.836,81.02199999999999,26.43168187293723,81.4655360401942,23,M,2021,4,4,7,25,0,3
41,41,LUCKNOW,P04042102305,C1,PS1,PHONE,Theft,Residential Building,26.847,81.039,26.849853482402704,81.19554010481673,11,F,2021,4,4,7,56,0,3
42,42,LUCKNOW,P04042104429,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.851,81.04899999999999,26.90668848446937,81.64207625301634,49,F,2021,4,4,10,57,0,3
43,43,LUCKNOW,P04042105811,C1,PS1,PHONE,Corona,Suspect Found Infected,26.836,81.0,26.82188256902136,81.52665595788275,34,M,2021,4,4,12,38,0,3
44,44,LUCKNOW,P04042107646,C1,PS1,PHONE,Cyber Crimes,Bank Account Hacking,26.837,81.024,26.51433475749483,81.1570580891636,28,M,2021,4,4,14,35,0,3
45,45,LUCKNOW,P04042108639,C1,PS1,PHONE,Theft,Residential Building,26.825,81.028,26.474067598297168,81.19021676759301,26,F,2021,4,4,15,48,0,3
46,46,LUCKNOW,P04042112855,C1,PS1,PHONE,Female Sexual Harrassment,Teasing On Public Place,26.841,81.02199999999999,26.461759466174723,81.20213869175356,12,F,2021,4,4,21,28,0,2
47,47,LUCKNOW,P04042112928,C1,PS1,PHONE,Unclaimed Information,Unclaimed Men,26.84,81.009,26.983588489889616,81.13823656487013,37,F,2021,4,4,21,32,0,3
48,48,LUCKNOW,P04042113508,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,26.847,81.06,26.485516445691903,81.61772011953396,33,M,2021,4,4,22,4,0,2
49,49,LUCKNOW,P05042100564,C1,PS1,PHONE,Threat In Person,Attack,26.838,80.98899999999999,26.981990259251816,81.27968637026103,24,F,2021,4,5,1,38,0,3
50,50,LUCKNOW,P05042104955,C1,PS1,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,26.843000000000004,81.025,26.265718604839403,81.27433089884046,30,F,2021,4,5,12,54,0,2
51,51,LUCKNOW,P05042105023,C1,PS1,PHONE,Dispute,Other Dispute,26.845,81.02,26.8583481214952,81.01783859969342,22,M,2021,4,5,13,2,0,3
52,52,LUCKNOW,P05042105414,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.842,81.029,26.846371761700876,81.56437695349709,17,F,2021,4,5,13,40,0,3
53,53,LUCKNOW,P05042106467,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,26.825,81.012,26.757998676717698,81.07003028217646,46,F,2021,4,5,15,24,0,2
54,54,LUCKNOW,P05042108794,C1,PS1,PHONE,Encroachment,Government Land,26.836,81.01,26.770448206535747,81.10641689973023,38,M,2021,4,5,19,5,0,3
55,55,LUCKNOW,P05042111438,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,26.844,81.038,26.125849255736345,81.48125655373761,21,F,2021,4,5,22,7,0,3
56,56,LUCKNOW,P06042100037,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.827,81.046,26.822860090299454,81.22577304375874,24,F,2021,4,6,0,5,0,3
57,57,LUCKNOW,P06042100153,C1,PS1,PHONE,Dispute,Other Dispute,26.835,81.02199999999999,26.760140209605247,81.22564566102432,38,M,2021,4,6,0,19,0,3
58,58,LUCKNOW,P06042100796,C1,PS1,TWITTER,Dispute,Sewer Dispute,26.839,81.017,26.67804943551045,81.10811560969239,43,F,2021,4,6,2,45,0,3
59,59,LUCKNOW,P06042101350,C1,PS1,TWITTER,Animals Related,Found Injured Animal,26.839,81.02600000000001,26.36843932220671,81.07660831759868,41,M,2021,4,6,6,54,0,3
60,60,LUCKNOW,P06042103845,C1,PS1,PHONE,Threat In Person,Attack,26.844,81.008,26.23829086490933,81.44501467235328,33,M,2021,4,6,11,18,0,3
61,61,LUCKNOW,P06042108172,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.847,81.031,26.55257985848588,81.38395819445677,40,M,2021,4,6,18,19,0,2
62,62,LUCKNOW,P06042111217,C1,PS1,PHONE,Dispute,Other Dispute,26.84,81.001,26.924522112166816,81.07140205843737,38,F,2021,4,6,22,0,0,3
63,63,LUCKNOW,P06042111628,C1,PS1,PHONE,Unknown,Unknown,26.819000000000003,81.015,26.562770308621293,81.52930992644856,48,F,2021,4,6,22,23,0,3
64,64,LUCKNOW,P06042112282,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,26.822,81.018,26.335550520266704,81.22848856535784,47,M,2021,4,6,23,4,0,2
65,65,LUCKNOW,P06042112907,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,26.825,81.012,26.364218800764203,81.0776711175687,12,F,2021,4,6,23,54,0,2
66,66,LUCKNOW,P07042101225,C1,PS1,PHONE,Theft,Residential Building,26.842,81.008,26.258130575379923,81.59821788534681,27,M,2021,4,7,6,42,0,3
67,67,LUCKNOW,P07042102571,C1,PS1,PHONE,Missing,Women,26.847,81.027,26.78980308779452,81.612114003833,25,F,2021,4,7,9,24,0,3
68,68,LUCKNOW,P07042104357,C1,PS1,PHONE,Property Disputes,Boundary Dispute,26.838,81.008,26.466974843961847,81.63391579601647,34,F,2021,4,7,12,14,0,3
69,69,LUCKNOW,P07042104458,C1,PS1,PHONE,Theft,Residential Building,26.844,81.01100000000001,26.353908986988728,81.5173531163148,25,F,2021,4,7,12,24,0,3
70,70,LUCKNOW,P07042105845,C1,PS1,PHONE,Animals Related,Cow Carcass And Slaughtering,26.84,81.021,26.754038431482574,81.0381155525288,30,M,2021,4,7,14,49,0,3
71,71,LUCKNOW,P07042107800,C1,PS1,PHONE,Robbery,On Road,26.845,81.061,26.421493080047387,81.60033801317131,19,F,2021,4,7,18,13,0,2
72,72,LUCKNOW,P07042108191,C1,PS1,PHONE,Corona,Help For Other,26.818,81.018,26.4980600049518,81.33441989484699,29,F,2021,4,7,18,46,0,3
73,73,LUCKNOW,P07042109168,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.837,81.024,26.874476929830447,81.28966223298227,28,M,2021,4,7,20,18,0,3
74,74,LUCKNOW,P07042109222,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,26.84,81.025,26.462149204032407,81.04064484817935,11,F,2021,4,7,20,22,0,3
75,75,LUCKNOW,P07042111691,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,26.84,81.001,26.30330007691296,81.32644937365642,39,M,2021,4,7,22,55,0,3
76,76,LUCKNOW,P08042100847,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.826,81.01100000000001,26.740926215624185,81.31579904459322,29,F,2021,4,8,3,8,0,3
77,77,LUCKNOW,P08042103149,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.836,81.02199999999999,26.523368982146625,81.55091507709356,40,M,2021,4,8,10,12,0,3
78,78,LUCKNOW,P08042103692,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.843000000000004,81.031,26.83157789278308,81.40329278229144,19,F,2021,4,8,11,8,0,3
79,79,LUCKNOW,P08042106491,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.835,81.008,26.85213951298425,81.58215879293103,11,M,2021,4,8,15,40,0,3
80,80,LUCKNOW,P08042110382,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.85,81.036,26.72798441606645,81.25165551445639,7,M,2021,4,8,21,16,0,2
81,81,LUCKNOW,P08042111771,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,26.834,81.01100000000001,26.7684996997298,81.30473281633913,31,M,2021,4,8,22,29,0,3
82,82,LUCKNOW,P09042106179,C1,PS1,PHONE,Dispute,Sewer Dispute,26.84,81.025,26.63035428677242,81.51737636163247,40,M,2021,4,9,14,40,0,3
83,83,LUCKNOW,P09042108089,C1,PS1,PHONE,Threat In Person,Attack,26.847,81.028,26.803675680119483,81.41322456674597,10,F,2021,4,9,17,41,0,3
84,84,LUCKNOW,P09042108304,C1,PS1,PHONE,Unknown,Unknown,26.842,81.047,26.947037360712123,81.38521227565163,33,F,2021,4,9,18,3,0,3
85,85,LUCKNOW,P09042108342,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.84,80.99600000000001,26.36149070056525,81.47820902006693,36,F,2021,4,9,18,6,0,3
86,86,LUCKNOW,P09042108568,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,26.835,81.014,26.89259120829394,81.42280567677864,45,M,2021,4,9,18,28,0,3
87,87,LUCKNOW,P09042110362,C1,PS1,PHONE,Corona,Suspect Found Infected,26.839,81.02600000000001,26.46909285411716,81.05936298240924,18,F,2021,4,9,20,55,0,3
88,88,LUCKNOW,P09042110526,C1,PS1,PHONE,Robbery,On Road,26.848000000000003,81.035,26.304826797690183,81.01695112550307,28,F,2021,4,9,21,5,0,2
89,89,LUCKNOW,P09042110917,C1,PS1,PHONE,Theft,Other Location,26.834,81.007,26.64477796379781,81.34647816623523,7,M,2021,4,9,21,28,0,3
90,90,LUCKNOW,P09042111894,C1,PS1,PHONE,Dispute,With Neighbor,26.844,81.041,26.40670466340434,81.32337500939062,33,M,2021,4,9,22,21,0,3
91,91,LUCKNOW,P10042100057,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.849,81.03,26.53427603295141,81.26488469247546,43,M,2021,4,10,0,6,0,3
92,92,LUCKNOW,P10042100368,C1,PS1,PHONE,Unknown,Unknown,26.823,81.015,26.207183303005834,81.28842982609783,49,F,2021,4,10,0,42,0,3
93,93,LUCKNOW,P10042103720,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.83,81.032,26.90046414246996,81.11111047874216,26,M,2021,4,10,11,10,0,3
94,94,LUCKNOW,P10042107534,C1,PS1,PHONE,Dispute,Dispute With Service Provider Or Vendor,26.826,81.012,26.417177806238897,81.17689572387435,43,F,2021,4,10,16,26,0,3
95,95,LUCKNOW,P10042108065,C1,PS1,PHONE,Information Against Police,Prv Has Taken Money From The Caller,26.833,81.01899999999999,26.653274795652703,81.39090656421693,15,F,2021,4,10,17,13,0,3
96,96,LUCKNOW,P10042112230,C1,PS1,PHONE,Theft,Residential Building,26.834,81.008,26.45086002899584,81.05046700018737,10,M,2021,4,10,22,18,0,3
97,97,LUCKNOW,P10042112352,C1,PS1,PHONE,Unknown,Unknown,26.825,81.027,26.670170667839617,81.47081568477601,37,F,2021,4,10,22,23,0,3
98,98,LUCKNOW,P11042100483,C1,PS1,PHONE,Illegal Mining,Illegal Mining,26.832,81.031,26.94603233810724,81.17694322748022,37,M,2021,4,11,1,2,0,2
99,99,LUCKNOW,P11042103095,C1,PS1,PHONE,Corona,Black Marketing Over Stocking,26.839,81.0,26.76374142449339,81.17585154385054,23,F,2021,4,11,10,8,0,3
100,100,LUCKNOW,P11042103368,C1,PS1,PHONE,Dispute,Dispute Between Ride And Driver,26.835,81.012,26.14684570275998,81.0915267505086,12,F,2021,4,11,10,32,0,3
101,101,LUCKNOW,P11042104241,C1,PS1,PHONE,Dispute,Other Dispute,26.844,81.01,26.953882008575203,81.40155480966561,33,M,2021,4,11,11,46,0,3
102,102,LUCKNOW,P11042106321,C1,PS1,PHONE,Threat In Person,Attack,26.834,81.01100000000001,26.995686334306235,81.48942554805882,7,M,2021,4,11,14,10,0,3
103,103,LUCKNOW,P11042108665,C1,PS1,PHONE,Dispute,Other Dispute,26.834,81.01100000000001,26.63262818235094,81.53125103048892,7,F,2021,4,11,17,37,0,3
104,104,LUCKNOW,P11042109137,C1,PS1,PHONE,Dispute,With Neighbor,26.845,81.027,26.247302753151946,81.61000086350651,31,M,2021,4,11,18,17,0,3
105,105,LUCKNOW,P11042112305,C1,PS1,PHONE,Dispute,Other Dispute,26.829,81.008,26.294189311273687,81.00030340805675,12,F,2021,4,11,21,59,0,3
106,106,LUCKNOW,P11042112856,C1,PS1,PHONE,Unknown,Unknown,26.844,81.016,26.392908041699226,81.5282264209029,48,F,2021,4,11,22,25,0,3
107,107,LUCKNOW,P12042100139,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,26.836,81.008,26.87507502779537,81.34184324547871,41,F,2021,4,12,0,11,0,3
108,108,LUCKNOW,P12042102357,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.833,81.028,26.69356773735477,81.58033777644089,33,F,2021,4,12,8,43,0,3
109,109,LUCKNOW,P12042103722,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,26.836,81.025,26.670395474637523,81.11235990089718,25,M,2021,4,12,10,43,0,2
110,110,LUCKNOW,P12042104863,C1,PS1,PHONE,Threat In Person,Attack,26.834,81.008,26.444221748484885,81.60108653439988,49,M,2021,4,12,12,18,0,3
111,111,LUCKNOW,P12042106151,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.841,81.0,26.659746804858827,81.51769063948343,36,M,2021,4,12,14,6,0,3
112,112,LUCKNOW,P12042107626,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,26.838,81.0,26.26860820421244,81.36498467564266,35,F,2021,4,12,16,14,0,2
113,113,LUCKNOW,P12042108150,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.839,81.02600000000001,26.977365111098024,81.63683750171417,48,M,2021,4,12,17,2,0,3
114,114,LUCKNOW,P12042108879,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,26.836,81.002,26.66973938827533,81.65319961701616,39,F,2021,4,12,18,10,0,3
115,115,LUCKNOW,P12042110039,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.842,81.017,26.785430389738664,81.61839409779257,8,M,2021,4,12,19,53,0,3
116,116,LUCKNOW,P12042112097,C1,PS1,PHONE,Dispute,Other Dispute,26.839,81.02600000000001,26.710355269318423,81.11218557895874,35,F,2021,4,12,21,55,0,3
117,117,LUCKNOW,P12042112557,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,26.837,81.031,26.561947509228485,81.23811850093578,18,F,2021,4,12,22,17,0,3
118,118,LUCKNOW,P12042112584,C1,PS1,PHONE,Dispute,Other Dispute,26.837,81.031,26.93187942272369,81.02993103010782,13,M,2021,4,12,22,18,0,3
119,119,LUCKNOW,P12042113702,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,26.834,81.01100000000001,26.166201817357347,81.02106398797446,37,F,2021,4,12,23,20,0,3
120,120,LUCKNOW,P12042113826,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,26.85,81.044,26.439478498861497,81.57636125956915,10,M,2021,4,12,23,29,0,3
121,121,LUCKNOW,P13042100307,C1,PS1,PHONE,Corona,Suspect Found Infected,26.835,81.014,26.89486625475044,81.21146482359201,22,F,2021,13,4,0,34,0,3
122,122,LUCKNOW,P13042101960,C1,PS1,PHONE,Threat In Person,Attack,26.839,81.01899999999999,26.60031904919473,81.30772053958651,6,F,2021,13,4,8,1,0,3
123,123,LUCKNOW,P13042102860,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.834,81.008,26.388118949410767,81.08919526510189,18,M,2021,13,4,9,32,0,3
124,124,LUCKNOW,P13042103512,C1,PS1,PHONE,Threat In Person,Attack,26.838,81.028,26.348685701037176,81.45599591698263,29,M,2021,13,4,10,26,0,3
125,125,LUCKNOW,P13042105183,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.841,81.002,26.85418529448329,81.65267010398405,34,F,2021,13,4,12,42,0,3
126,126,LUCKNOW,P13042105546,C1,PS1,PHONE,Dispute,Other Dispute,26.826,81.002,26.741264626278223,81.20865930640802,11,M,2021,13,4,13,8,0,3
127,127,LUCKNOW,P13042110307,C1,PS1,PHONE,Dispute,Other Dispute,26.835,81.03699999999999,26.92046332950348,81.43355215366837,12,M,2021,13,4,19,29,0,3
128,128,LUCKNOW,P13042110333,C1,PS1,PHONE,Dispute,Other Dispute,26.833,81.02199999999999,26.11226359168849,81.40936086151638,11,M,2021,13,4,19,32,0,3
129,129,LUCKNOW,P13042110538,C1,PS1,PHONE,Unknown,Unknown,26.842,81.009,26.47859454179164,81.1496981984239,45,M,2021,13,4,19,48,0,3
130,130,LUCKNOW,P13042110852,C1,PS1,PHONE,Dispute,Other Dispute,26.836,81.023,26.58835968741111,81.53004135141995,17,M,2021,13,4,20,12,0,3
131,131,LUCKNOW,P13042112553,C1,PS1,PHONE,Corona,Help For Other,26.837,81.02,26.59075898085812,81.15775393406432,43,F,2021,13,4,21,52,0,3
132,132,LUCKNOW,P13042113389,C1,PS1,TWITTER,Corona,Help For Other,26.821,81.012,26.67770319225984,81.06126736049497,45,M,2021,13,4,22,35,0,3
133,133,LUCKNOW,P14042103221,C1,PS1,PHONE,Theft,Residential Building,26.84,81.051,26.27568330195761,81.40526597077795,43,M,2021,14,4,9,57,0,3
134,134,LUCKNOW,P14042103550,C1,PS1,PHONE,Missing,Grp- Person Accident By Train ,26.838,81.008,26.63256166292887,81.16563334939069,32,M,2021,14,4,10,25,0,3
135,135,LUCKNOW,P14042104588,C1,PS1,PHONE,Encroachment,On Road,26.839,81.02600000000001,26.292183752116863,81.41107862564384,7,M,2021,14,4,11,55,0,3
136,136,LUCKNOW,P14042105413,C1,PS1,PHONE,Threat In Person,Attack,26.839,81.0,26.98224632712386,81.3084965912364,36,F,2021,14,4,13,1,0,3
137,137,LUCKNOW,P14042105538,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Women,26.832,81.018,26.374360547987862,81.05568231716549,41,M,2021,14,4,13,12,0,3
138,138,LUCKNOW,P14042106887,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.839,81.014,26.680718774215705,81.15708165855489,49,M,2021,14,4,15,13,0,3
139,139,LUCKNOW,P14042107679,C1,PS1,PHONE,Female Sexual Harrassment,Teasing On Public Place,26.84,81.012,26.143276467128057,81.65861287713022,24,F,2021,14,4,16,37,0,2
140,140,LUCKNOW,P15042101882,C1,PS1,PHONE,Pollution,Pollution By Dj/Band/Cracker/Others Means,26.844,81.01,26.682008307005155,81.64883642869052,49,F,2021,15,4,2,46,0,0
141,141,LUCKNOW,P15042102876,C1,PS1,PHONE,Corona,Help For Other,26.839,81.028,26.456541930078345,81.18853017275885,8,M,2021,15,4,7,21,0,3
142,142,LUCKNOW,P15042104123,C1,PS1,PHONE,Dispute,Other Dispute,26.833,81.02199999999999,26.905099949991268,81.54896526544776,45,F,2021,15,4,9,25,0,3
143,143,LUCKNOW,P15042106039,C1,PS1,PHONE,Dispute,Other Dispute,26.839,81.02600000000001,26.25935548272912,81.50943621293986,29,F,2021,15,4,11,51,0,3
144,144,LUCKNOW,P15042107746,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,26.85,81.048,26.59783822489724,81.15697036528896,11,M,2021,15,4,13,57,0,2
145,145,LUCKNOW,P15042107768,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.842,81.047,26.22447435611007,81.56501028783352,6,M,2021,15,4,13,59,0,2
146,146,LUCKNOW,P15042107909,C1,PS1,PHONE,Dispute,Other Dispute,26.836,81.009,26.40612466783332,81.43557183979873,37,F,2021,15,4,14,10,0,3
147,147,LUCKNOW,P15042110175,C1,PS1,PHONE,Dispute,Other Dispute,26.836,81.009,26.16728513573916,81.59200242178844,12,M,2021,15,4,16,47,0,3
148,148,LUCKNOW,P15042114720,C1,PS1,PHONE,Information Against Other Government Departments,Notice Of Negligence In Work,26.851,81.048,26.746542504070927,81.49979349125161,42,M,2021,15,4,21,16,0,3
149,149,LUCKNOW,P15042114787,C1,PS1,PHONE,Gambling,Betting,26.835,81.018,26.837599151315068,81.19420951898474,35,M,2021,15,4,21,19,0,3
150,150,LUCKNOW,P15042116649,C1,PS1,PHONE,Dispute,Other Dispute,26.827,81.016,26.275865026990427,81.41865198349036,39,M,2021,15,4,22,39,0,3
151,151,LUCKNOW,P16042103006,C1,PS1,PHONE,Dispute,Other Dispute,26.835,81.002,26.904351738372597,81.22572935099562,32,F,2021,16,4,9,24,0,3
152,152,LUCKNOW,P16042106128,C1,PS1,PHONE,Theft,Other Location,26.835,81.008,26.23358624617785,81.25072758743401,9,F,2021,16,4,13,35,0,3
153,153,LUCKNOW,P16042107121,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.842,81.027,26.722756896518764,81.59064595770349,26,F,2021,16,4,15,0,0,3
